address,name,type,comment,source
0x8002523c,com_ipdu_process_step,FUNCTION,Com IPDU state-machine step (PTR_FUN_80020134 target); dispatches per-PDU pack/route via runtime context,verified
0x80040000,SW_ID_BLOCK,LABEL,software-ID block: 8R0907551F / S8500L2000000 / CTUC,verified
0x800435e2,cal_acc05_creep_to_moving_thd,DATA,"ACC_05-path creep->moving speed threshold (u16=1004=7.84 km/h at 1/128), 80141528:174-178. The ACC_05/Momentenanf equivalent of the 8013ef46 creep cal 0x800439f8 (same value) but FULLY CALIBRATABLE (no hardcoded 1000 literal). Feeds status a5ae (TSK packers), not a hard disengage. See RESULTS UPDATE 66 Q3-followup.",re-trace
0x800435e6,cal_acc05_moving_to_creep_thd,DATA,"ACC_05-path moving->creep speed threshold (u16=973=7.60 km/h at 1/128), 80141528:176. Hysteresis partner of 0x800435e2. ACC_05 equivalent of 8013ef46 cal 0x800439fa. See RESULTS UPDATE 66 Q3-followup.",re-trace
0x80043650,cal_cruise_torque_rate_falling,DATA,"Cruise/ACC engine-torque FALLING rate limit (clutch-open / torque release), 80141904 slope limiter. s16=20 (~40 Nm/s if res 2). Cand C_TQ_GRD_CLU_OPEN (MEDIUM conf). See UPDATE 62.",re-trace
0x80043652,cal_cruise_torque_rate_rising,DATA,"Cruise/ACC engine-torque RISING rate limit (clutch-close / brake->drive re-engagement smoothness), in 80141904 asymmetric slope limiter on Ramd0007d06. s16=10 (~20 Nm/s if res 2). Lower=smoother/slower torque pickup. NOT indexed by ACC_Dynamik (fixed). Cand C_TQ_GRD_NORM_CLU_CLOSE (MEDIUM conf). See UPDATE 62.",re-trace
0x800439f8,cal_creep_to_moving_thd,DATA,"Creep->moving speed threshold (u16=1004=7.84 km/h at 1/128), 8013ef46:755 sets uRamc0001118 bit0x40. Hysteresis partner of 0x800439fa (973=7.60). Lower toward 0 for sub-15 standstill (keep f8>fa). NOTE a hardcoded literal 1000 at 8013ef46:258 also enforces ~7.81 km/h (firmware patch). See RESULTS UPDATE 66.",re-trace
0x800439fa,cal_moving_to_creep_thd,DATA,"Moving->creep speed threshold (u16=973=7.60 km/h at 1/128), 8013ef46:808 clears uRamc0001118 bit0x80. Hysteresis partner of 0x800439f8 (1004). See RESULTS UPDATE 66.",re-trace
0x80043bc6,cal_acc_frame_select,DATA,"CAL word selecting which ACC RX frame(s) the engine decodes (no runtime writer). &0x100=ACC_01/DCC_1(0x109) via 801383e8; &(0x200|0x400|0x1000)=ACC_05/DCC_5(0x10D) via 801383fc. This image=0x0900 => ACC_01 active (Q5), ACC_05 disabled (Macan would set the ACC_05 bits). Reflash to change, NOT VCDS. See RESULTS UPDATE 66.",re-trace
0x80043caf,cal_acc_mode_tsk_packer_select,DATA,"CAL byte (=0x06). bit0 => a5a8 (801abf64): 0=ACC_01+TSK_02(80137a00,has Anhalten)+hold-relay; 1=ACC_05 Momentenanf drive-off+TSK_05(80137f2c). bit2 selects mass source. Q5=0x06 (bit0=0). See RESULTS UPDATE 64/66.",re-trace
0x8005b71c,cal_acc_decel_limit_kennfeld_m3p0,DATA,"ACC brake decel-limit Kennfeld region: 11 consecutive u16 = 0x7237 = -3.000 m/s2 (850e-6 offset-binary, phys=(raw-0x8000)*850e-6). THE -3.0 brake-decel clamp (openpilot lever). Raise = set more negative (0x6db1=-3.984 floor). File offset 0x5b71c. Recompute cal checksum. +5 scattered cells 0x597f2/59836/598a2/598b2/5a546. See RESULTS UPDATE 57.",re-trace
0x800793a0,cal_acc_l2monitor_struct,DATA,"ACC/cruise L2-monitor + diagnosis cal struct (base ptr *0x80090f80, used by 80102f60). Speed floors (u8 km/h, compared da54<=cal*0x80, da54=1/128 km/h): +0x14f=15 & +0x152=15 = C_VS_MIN_CRU_MON (15km/h, flash 0x800794ef/0x800794f2); +0x196=384=3.0km/h creep gate. +0x16e=0x1fff diag enable, +0x178=0 fatal mask, +0x121=0xBF engage-inhibit mask. See acc_flow.md / UPDATE 58.",re-trace
0x800808ec,CRC16_ARC_TABLE,LABEL,"256-entry CRC16/ARC table, refl 0xA001",verified
0x80080aec,CRC8_AUTOSAR_TABLE,LABEL,"256-entry CRC-8/AUTOSAR table, poly 0x2F",verified
0x8009083c,CRC32_TABLE,LABEL,"256-entry zlib CRC32 table, poly 0xEDB88320 (reflected)",verified
0x8009ffd0,egas_l2_monitor_refresh,FUNCTION,"EGAS L2 monitor refresh; VS_MON=clamp_pos(max(d7922,d7918)) -> _DAT_c0000612 / DAT_d7726",verified
0x800a0c9c,egas_l2_monitor_cal_init,FUNCTION,EGAS L2 monitor shadow-RAM init; loads C_VS_MIN_CRU_MON @0x456bd/0x456c0 with ^0xff ASIL verify,verified
0x800a2c54,cal_table_indexer_2d,FUNCTION,2-D cal-table indexer base+row*width+col; NOT a memory read (obd_read_feasibility.md 6c),re-trace
0x800a4bbc,max_u16_MISNAMED_min,FUNCTION,"Returns the MAX of two u16 (body p1*(p2<p1)+p2*(p2>=p1)) despite the Ghidra auto-name 'min_u16_800a4bbc'. Used at 8013c5d4:418 as Ramd0007c9a=max(request,0x7237) = the -3.0 decel TRUNCATION (offset-binary, larger raw=less braking). DISTINCT from plain min_u16 (0x800a4c..) which is a genuine min. See acc_flow.md / UPDATE 59.",re-trace
0x800a59f0,crc16_arc_table_fn,FUNCTION,"CRC16 ARC-family, init 0xABCD (table 0x800808ec); used on UDS download buffers",verified
0x800a5a18,checksum8_autosar_fn,FUNCTION,CRC-8/AUTOSAR poly 0x2F (table 0x80080aec); zero callers in this image,verified
0x800a5f40,kl_interp_u16,FUNCTION,"1D curve (Kennlinie) linear interpolation, u16",verified
0x800a5fc0,kf_interp_u16,FUNCTION,"2D map (Kennfeld) bilinear interpolation, u16",verified
